"Census Tracts in New York, NY",Tract_fips,County_name,County_fips,State_name,State_fips,"Geographic Years Available","% Population, Citizenship - Foreign Born - Not a Citizen, 2016","% Population, Citizenship - Foreign Born - Naturalized, 2016","% Population, Citizenship - Native, 2016","% Employment, Unemployed, 2016","Family Income Total ($), 2016","# Population Not in Poverty, Total, 2016","# Population, Female, Not in Poverty, Total, 2016","% Population, Female, Not in Poverty, Total, 2016","# Population, Male, Not in Poverty, Total, 2016","% Population, Male, Not in Poverty, Total, 2016","% Population Not in Poverty, Total, 2016","# Population, Female, in Poverty, Total, 2016","% Population, Female, in Poverty, Total, 2016","# Population, Male, in Poverty, Total, 2016","% Population, Male, in Poverty, Total, 2016","# Population Poverty Universe, 2016","# Population, Female, Poverty Universe, 2016","# Population, Male, Poverty Universe, 2016","# Population, Not Hispanic, 2016","% Population, Not Hispanic, 2016"
"CT043701, Queens County, NY","36081043701 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",28.7623,21.9640,49.2737,4.7585,45264408,2846,1363,39.5991,1483,43.0854,82.6845,362,10.5171,234,6.7984,3442,1717,1725,1358,39.4538
"CT043702, Queens County, NY","36081043702 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",30.3366,27.0446,42.6188,4.7223,104049149,5361,2842,41.9545,2519,37.1863,79.1408,632,9.3298,781,11.5294,6774,3300,3474,2473,36.5072
"CT043900, Queens County, NY","36081043900 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",49.7379,13.1048,37.1573,4.7419,63638267,3343,1381,27.8427,1962,39.5565,67.3992,941,18.9718,676,13.6290,4960,2638,2322,728,14.6774
"CT044000, Queens County, NY","36081044000 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",22.9322,15.5630,61.5048,4.7293,64912827,2862,1577,40.6339,1285,33.1100,73.7439,581,14.9704,438,11.2858,3881,1723,2158,3323,85.6223
"CT044301, Queens County, NY","36081044301 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",27.4076,31.7401,40.8524,4.7199,48438723,3003,1496,35.2249,1507,35.4839,70.7087,716,16.8590,528,12.4323,4247,2035,2212,1126,26.5128
"CT044302, Queens County, NY","36081044302 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",34.6657,28.4583,36.8760,4.7419,90440357,4371,2186,40.2652,2185,40.2468,80.5121,528,9.7255,530,9.7624,5429,2715,2714,3053,56.2350
"CT044400, Queens County, NY","36081044400 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",26.1283,37.2922,36.5796,4.7840,32073884,2057,1061,31.5024,996,29.5724,61.0748,623,18.4976,688,20.4276,3368,1684,1684,2139,63.5095
"CT044601, Queens County, NY","36081044601 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",31.6935,27.3113,40.9952,4.7235,44220257,2641,1265,35.7648,1376,38.9030,74.6678,500,14.1363,396,11.1959,3537,1772,1765,1966,55.5838
"CT044602, Queens County, NY","36081044602 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",29.3508,21.5723,49.0770,4.8000,52840789,3182,1506,31.2383,1676,34.7646,66.0029,870,18.0460,769,15.9510,4821,2445,2376,3090,64.0946
"CT044800, Queens County, NY","36081044800 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",29.1932,24.3527,46.4540,4.7904,41190356,2243,1057,39.6623,1186,44.5028,84.1651,231,8.6679,191,7.1670,2665,1377,1288,2110,79.1745
"CT045000, Queens County, NY","36081045000 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",29.8778,34.4254,35.6968,4.6658,40680201,1582,871,42.5917,711,34.7677,77.3594,135,6.6015,328,16.0391,2045,1039,1006,1592,77.8484
"CT045200, Queens County, NY","36081045200 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",19.5726,29.4017,51.0256,4.5570,13695050,917,578,49.4017,339,28.9744,78.3761,101,8.6325,152,12.9915,1170,491,679,1032,88.2051
"CT045400, Queens County, NY","36081045400 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",31.6653,36.0488,32.2858,4.7362,82509366,4173,1945,38.9311,2228,44.5957,83.5268,486,9.7278,337,6.7454,4996,2565,2431,4432,88.7110
"CT045500, Queens County, NY","36081045500 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",22.6465,25.7768,51.5768,4.7435,236102347,11269,6073,46.9392,5196,40.1608,87.1000,845,6.5311,824,6.3688,12938,6020,6918,8566,66.2081
"CT045600, Queens County, NY","36081045600 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",9.7232,50.9581,39.3187,4.7368,35244343,1297,642,45.5642,655,46.4869,92.0511,71,5.0390,41,2.9099,1409,696,713,1229,87.2250
"CT045700, Queens County, NY","36081045700 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",29.9747,43.2311,26.7943,4.7566,68271105,3102,1532,43.1185,1570,44.1880,87.3065,256,7.2052,195,5.4883,3553,1765,1788,2407,67.7456
"CT045800, Queens County, NY","36081045800 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",22.2900,33.5992,44.1107,4.6820,68301389,1661,820,38.4796,841,39.4650,77.9446,251,11.7785,219,10.2769,2131,1060,1071,1824,85.5936
"CT045900, Queens County, NY","36081045900 ","Queens County, NY","36081 ","New York","36 ","2010, 2014",38.3696,31.7715,29.8590,4.7462,98359428,3180,1383,33.0624,1797,42.9596,76.0220,651,15.5630,352,8.4150,4183,2149,2034,2559,61.1762
