"Census Tracts in New York, NY",Tract_fips,County_name,County_fips,State_name,State_fips,"Geographic Years Available","% Population, Citizenship - Foreign Born - Not a Citizen, 2016","% Population, Citizenship - Foreign Born - Naturalized, 2016","% Population, Citizenship - Native, 2016","% Employment, Unemployed, 2016","Family Income Total ($), 2016","# Population Not in Poverty, Total, 2016","# Population, Female, Not in Poverty, Total, 2016","% Population, Female, Not in Poverty, Total, 2016","# Population, Male, Not in Poverty, Total, 2016","% Population, Male, Not in Poverty, Total, 2016","% Population Not in Poverty, Total, 2016","# Population, Female, in Poverty, Total, 2016","% Population, Female, in Poverty, Total, 2016","# Population, Male, in Poverty, Total, 2016","% Population, Male, in Poverty, Total, 2016","# Population Poverty Universe, 2016","# Population, Female, Poverty Universe, 2016","# Population, Male, Poverty Universe, 2016","# Population, Not Hispanic, 2016","% Population, Not Hispanic, 2016"
"CT013100, Bronx County, NY","36005013100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.8345,13.4365,68.7290,7.1681,60432874,3282,1790,33.3582,1492,27.8047,61.1629,1045,19.4745,1039,19.3627,5366,2531,2835,1811,33.7495
"CT013200, Bronx County, NY","36005013200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",5.9428,13.5079,80.5493,7.1852,184840378,5695,2922,46.9322,2773,44.5390,91.4712,363,5.8304,168,2.6984,6226,2941,3285,2924,46.9643
"CT013300, Bronx County, NY","36005013300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.4049,11.7163,69.8788,7.1726,70038239,4236,2247,33.6226,1989,29.7621,63.3847,1535,22.9687,912,13.6466,6683,2901,3782,2693,40.2963
"CT013500, Bronx County, NY","36005013500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.2231,13.5665,69.2104,7.2065,36464184,1885,934,24.7483,951,25.1987,49.9470,1220,32.3264,669,17.7266,3774,1620,2154,1629,43.1638
"CT013800, Bronx County, NY","36005013800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",3.2107,7.9177,88.8716,7.1864,98557616,2879,1486,46.3217,1393,43.4227,89.7444,193,6.0162,136,4.2394,3208,1529,1679,2294,71.5087
"CT014100, Bronx County, NY","36005014100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.1944,10.9444,70.8611,7.1701,38092450,2740,1413,39.2500,1327,36.8611,76.1111,580,16.1111,280,7.7778,3600,1607,1993,1328,36.8889
"CT014300, Bronx County, NY","36005014300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.6238,5.7582,68.6180,7.0093,5877279,498,172,16.5067,326,31.2860,47.7927,306,29.3666,238,22.8407,1042,564,478,567,54.4146
"CT014400, Bronx County, NY","36005014400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",4.4262,7.6775,87.8963,7.2187,87139539,3460,1698,27.3298,1762,28.3599,55.6897,1884,30.3235,869,13.9868,6213,2631,3582,2311,37.1962
"CT014500, Bronx County, NY","36005014500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.8201,8.0598,79.1202,7.1075,46515594,3239,1601,26.2804,1638,26.8877,53.1681,1753,28.7754,1100,18.0565,6092,2738,3354,2943,48.3093
"CT014701, Bronx County, NY","36005014701 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",15.9587,6.2242,77.8171,7.1474,44588601,2626,1484,21.8879,1142,16.8437,38.7316,2330,34.3658,1824,26.9027,6780,2966,3814,3176,46.8437
"CT014702, Bronx County, NY","36005014702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.4727,11.6960,77.8313,7.2031,43532800,2292,1434,26.5802,858,15.9036,42.4838,1663,30.8248,1440,26.6914,5395,2298,3097,2309,42.7989
"CT014900, Bronx County, NY","36005014900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.7669,15.0810,62.1521,7.1934,51025187,2976,1492,30.9929,1484,30.8268,61.8197,976,20.2742,862,17.9061,4814,2346,2468,2007,41.6909
"CT015100, Bronx County, NY","36005015100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.9586,13.9088,67.1326,7.1826,65848821,3682,1836,32.0811,1846,32.2558,64.3369,1121,19.5876,920,16.0755,5723,2766,2957,2699,47.1606
"CT015200, Bronx County, NY","36005015200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",5.6139,16.3974,77.9887,7.2314,54171384,1951,945,38.1664,1006,40.6300,78.7964,357,14.4184,168,6.7851,2476,1174,1302,1059,42.7706
"CT015300, Bronx County, NY","36005015300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.9210,12.0649,70.0141,7.1616,46419000,2049,920,21.6369,1129,26.5522,48.1891,1328,31.2324,875,20.5786,4252,2004,2248,2077,48.8476
"CT015500, Bronx County, NY","36005015500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.7385,15.8705,58.3909,7.1487,37441650,2270,1171,36.8008,1099,34.5380,71.3388,537,16.8762,375,11.7850,3182,1474,1708,672,21.1188
"CT015700, Bronx County, NY","36005015700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.4934,11.6887,70.8179,7.3282,36659835,2480,1176,31.0290,1304,34.4063,65.4354,845,22.2955,465,12.2691,3790,1769,2021,1345,35.4881
"CT015800, Bronx County, NY","36005015800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",2.6046,15.9432,81.4522,7.0746,31234591,942,442,34.8856,500,39.4633,74.3489,222,17.5217,103,8.1294,1267,603,664,644,50.8287
"CT015900, Bronx County, NY","36005015900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.7364,8.2601,67.0035,7.3171,20427513,1005,454,19.9473,551,24.2091,44.1564,764,33.5677,507,22.2759,2276,1058,1218,240,10.5448
"CT016000, Bronx County, NY","36005016000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",7.7814,6.5475,85.6711,7.1396,143220480,3848,1983,49.9370,1865,46.9655,96.9025,82,2.0650,41,1.0325,3971,1906,2065,2891,72.8028
"CT016100, Bronx County, NY","36005016100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.6658,22.0774,59.2568,7.2229,58574756,2644,1468,31.8992,1176,25.5541,57.4533,1070,23.2508,888,19.2960,4602,2064,2538,1563,33.9635
"CT016200, Bronx County, NY","36005016200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",2.6573,6.8330,90.5098,7.2193,44331218,1603,855,46.3666,748,40.5640,86.9306,149,8.0803,92,4.9892,1844,840,1004,1131,61.3341
"CT016300, Bronx County, NY","36005016300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT016400, Bronx County, NY","36005016400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",4.8801,7.9404,87.1795,7.2144,37397060,1119,567,46.8983,552,45.6576,92.5558,53,4.3838,37,3.0604,1209,589,620,723,59.8015
"CT016500, Bronx County, NY","36005016500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.1937,11.8317,68.9746,6.9277,11576205,603,314,27.5197,289,25.3287,52.8484,317,27.7826,221,19.3690,1141,510,631,505,44.2594
"CT016600, Bronx County, NY","36005016600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",2.5832,11.7776,85.6392,7.2187,73474620,2048,1048,45.8844,1000,43.7828,89.6673,166,7.2680,70,3.0648,2284,1070,1214,1096,47.9860
"CT016700, Bronx County, NY","36005016700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.1312,13.4935,67.3752,7.1698,29971716,1561,823,38.0314,738,34.1035,72.1349,332,15.3420,271,12.5231,2164,1009,1155,1063,49.1220
"CT016900, Bronx County, NY","36005016900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",16.5409,10.3308,73.1283,7.1563,21806038,1081,427,24.7824,654,37.9571,62.7394,444,25.7690,198,11.4916,1723,852,871,912,52.9309
"CT017100, Bronx County, NY","36005017100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT017300, Bronx County, NY","36005017300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.6931,13.4704,61.8364,7.1627,72213784,4384,2339,37.2868,2045,32.6000,69.8868,1019,16.2442,870,13.8690,6273,2915,3358,2353,37.5100
"CT017500, Bronx County, NY","36005017500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.3155,8.5051,73.1794,7.1886,73025150,3892,1771,24.3336,2121,29.1426,53.4762,2125,29.1976,1261,17.3262,7278,3382,3896,3022,41.5224
"CT017701, Bronx County, NY","36005017701 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.8307,9.3987,76.7706,7.1633,48657300,2892,1390,30.9577,1502,33.4521,64.4098,949,21.1359,649,14.4543,4490,2151,2339,1945,43.3185
"CT017702, Bronx County, NY","36005017702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",33.9399,7.3774,58.6828,7.1813,42583460,2233,998,19.7389,1235,24.4264,44.1653,1674,33.1092,1149,22.7255,5056,2384,2672,2217,43.8489
"CT017901, Bronx County, NY","36005017901 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.3284,19.9022,47.7694,7.1864,49664800,2826,1236,25.1782,1590,32.3895,57.5677,1272,25.9116,811,16.5207,4909,2401,2508,1309,26.6653
"CT017902, Bronx County, NY","36005017902 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",28.3665,10.7039,60.9296,7.2273,38667001,2675,1437,38.1673,1238,32.8818,71.0491,517,13.7317,573,15.2191,3765,1811,1954,1435,38.1142
"CT018101, Bronx County, NY","36005018101 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",31.3900,17.4325,51.1775,7.2018,40466675,2159,1080,31.0167,1079,30.9879,62.0046,725,20.8214,598,17.1740,3482,1677,1805,1585,45.5198
"CT018102, Bronx County, NY","36005018102 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",35.6478,15.9028,48.4493,7.2520,54666650,4228,1984,34.1833,2244,38.6630,72.8463,937,16.1440,639,11.0096,5804,2883,2921,2611,44.9862
"CT018301, Bronx County, NY","36005018301 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",14.8776,19.6485,65.4739,7.2009,55352200,2753,1437,30.0691,1316,27.5371,57.6062,1136,23.7707,890,18.6231,4779,2206,2573,1982,41.4731
"CT018302, Bronx County, NY","36005018302 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",28.8451,13.5696,57.5853,7.1693,47291776,2541,1161,30.4724,1380,36.2205,66.6929,786,20.6299,483,12.6772,3810,1863,1947,1584,41.5748
"CT018400, Bronx County, NY","36005018400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.2281,13.1960,76.5759,7.1392,105764558,3685,1968,48.2708,1717,42.1143,90.3851,192,4.7093,200,4.9056,4077,1917,2160,2679,65.7101
"CT018500, Bronx County, NY","36005018500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",16.3344,9.8543,73.8113,7.1532,73752200,4513,2298,29.3712,2215,28.3103,57.6815,1949,24.9105,1362,17.4080,7824,3577,4247,3195,40.8359
"CT018900, Bronx County, NY","36005018900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.3636,14.8544,65.7820,7.2117,77855180,4804,2373,29.1559,2431,29.8685,59.0245,1880,23.0987,1455,17.8769,8139,3886,4253,2678,32.9033
"CT019300, Bronx County, NY","36005019300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.9331,18.6128,63.4542,7.1392,58513393,2596,1403,24.4510,1193,20.7912,45.2422,1830,31.8926,1312,22.8651,5738,2505,3233,1920,33.4611
"CT019400, Bronx County, NY","36005019400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",2.7295,15.1861,82.0844,7.2193,37051465,1482,706,35.0372,776,38.5112,73.5484,299,14.8387,234,11.6129,2015,1010,1005,828,41.0918
"CT019500, Bronx County, NY","36005019500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",21.9186,20.3259,57.7555,7.2028,91202250,5601,2925,35.8368,2676,32.7861,68.6229,1421,17.4099,1140,13.9672,8162,3816,4346,2706,33.1536
"CT019700, Bronx County, NY","36005019700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.8961,14.9134,52.1905,7.2051,67396775,4565,2221,28.2858,2344,29.8523,58.1381,1815,23.1151,1472,18.7468,7852,3816,4036,2198,27.9929
"CT019900, Bronx County, NY","36005019900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",28.7718,13.4743,57.7539,7.2075,87291850,5399,2711,31.6817,2688,31.4129,63.0945,1856,21.6898,1302,15.2156,8557,3990,4567,2623,30.6533
"CT020000, Bronx County, NY","36005020000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.6624,16.9701,58.3676,7.1302,66612850,3548,1694,33.1572,1854,36.2889,69.4461,915,17.9096,646,12.6444,5109,2500,2609,2262,44.2748
"CT020100, Bronx County, NY","36005020100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.1610,17.5371,60.3019,7.1707,45032944,2774,1445,34.6191,1329,31.8400,66.4590,793,18.9986,607,14.5424,4174,1936,2238,1528,36.6076
"CT020200, Bronx County, NY","36005020200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",21.2055,23.0972,55.6973,7.1429,37776348,1745,948,41.7070,797,35.0638,76.7708,220,9.6788,308,13.5504,2273,1105,1168,860,37.8355
"CT020400, Bronx County, NY","36005020400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.1180,11.9298,69.9522,7.2180,49450205,2483,1292,41.2121,1191,37.9904,79.2026,363,11.5789,289,9.2185,3135,1480,1655,1078,34.3860
"CT020501, Bronx County, NY","36005020501 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",21.9735,15.0676,62.9589,7.2162,85200717,4849,2652,36.1949,2197,29.9850,66.1799,1509,20.5951,969,13.2251,7327,3166,4161,2803,38.2558
"CT020502, Bronx County, NY","36005020502 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",20.8691,14.9142,64.2167,7.2566,19525981,889,529,28.3798,360,19.3133,47.6931,479,25.6974,496,26.6094,1864,856,1008,616,33.0472
"CT020601, Bronx County, NY","36005020601 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.8285,15.0404,71.1311,7.1721,53394972,2555,1221,37.9428,1334,41.4543,79.3971,456,14.1703,207,6.4326,3218,1541,1677,1334,41.4543
"CT020900, Bronx County, NY","36005020900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.5106,28.9086,51.5808,7.1872,52815853,2838,1340,29.0169,1498,32.4383,61.4552,1082,23.4301,698,15.1148,4618,2196,2422,1577,34.1490
"CT021001, Bronx County, NY","36005021001 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.1471,16.0293,70.8236,7.1518,181160618,7842,4306,47.7331,3536,39.1974,86.9305,671,7.4382,508,5.6313,9021,4044,4977,5433,60.2261
"CT021002, Bronx County, NY","36005021002 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.5846,19.7533,69.6621,7.1629,131964555,5369,2896,40.6000,2473,34.6698,75.2699,977,13.6969,787,11.0332,7133,3260,3873,4610,64.6292
"CT021100, Bronx County, NY","36005021100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.6328,13.1844,56.1828,7.1881,54707914,3184,1541,26.2835,1643,28.0232,54.3067,1547,26.3858,1132,19.3075,5863,2775,3088,2145,36.5854
"CT021200, Bronx County, NY","36005021200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.7928,26.3243,62.8829,7.2233,100934842,4885,2592,46.7027,2293,41.3153,88.0180,388,6.9910,277,4.9910,5550,2570,2980,3728,67.1712
"CT021301, Bronx County, NY","36005021301 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.3864,17.0230,58.5907,7.1429,13900604,652,335,26.5241,317,25.0990,51.6231,354,28.0285,257,20.3484,1263,574,689,248,19.6358
"CT021302, Bronx County, NY","36005021302 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",21.5090,19.3809,59.1101,7.1636,57692671,3362,1787,31.4281,1575,27.6996,59.1277,1247,21.9311,1077,18.9413,5686,2652,3034,2209,38.8498
"CT021501, Bronx County, NY","36005021501 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",28.2002,11.7224,60.0774,7.2317,37503335,2584,1266,35.0014,1318,36.4390,71.4404,695,19.2148,338,9.3448,3617,1656,1961,995,27.5090
"CT021502, Bronx County, NY","36005021502 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",27.8562,14.1243,58.0195,7.1990,46138557,3119,1471,23.0854,1648,25.8632,48.9485,1956,30.6968,1297,20.3547,6372,2945,3427,1936,30.3829
"CT021601, Bronx County, NY","36005021601 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.3499,13.5666,61.0835,7.1803,41514500,2482,1209,27.2912,1273,28.7359,56.0271,1086,24.5147,862,19.4582,4430,2135,2295,1491,33.6569
"CT021602, Bronx County, NY","36005021602 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",16.1798,17.4598,66.3604,7.1720,117645041,4812,2610,42.8290,2202,36.1339,78.9629,682,11.1913,600,9.8457,6094,2802,3292,3761,61.7164
"CT021700, Bronx County, NY","36005021700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",21.3053,12.6753,66.0194,7.1850,38721500,2367,1224,22.0065,1143,20.5502,42.5566,1711,30.7623,1484,26.6810,5562,2627,2935,2547,45.7929
"CT021800, Bronx County, NY","36005021800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.2879,15.7941,65.9180,7.1800,85960700,5328,2800,40.8342,2528,36.8674,77.7016,819,11.9440,710,10.3544,6857,3238,3619,2322,33.8632
"CT021900, Bronx County, NY","36005021900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",37.4483,23.9310,38.6207,7.2013,14596369,1018,515,35.5172,503,34.6897,70.2069,221,15.2414,211,14.5517,1450,714,736,343,23.6552
"CT022000, Bronx County, NY","36005022000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.7053,9.1377,64.1570,7.1778,11768650,679,330,21.2355,349,22.4582,43.6937,444,28.5714,431,27.7349,1554,780,774,411,26.4479
"CT022101, Bronx County, NY","36005022101 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.1383,16.2302,53.6314,7.2084,36245695,2523,1159,28.6314,1364,33.6957,62.3271,880,21.7391,645,15.9338,4048,2009,2039,977,24.1354
"CT022102, Bronx County, NY","36005022102 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.1178,20.9041,48.9782,7.1730,37614256,2585,1379,23.8829,1206,20.8867,44.7697,1606,27.8143,1583,27.4160,5774,2789,2985,883,15.2927
"CT022200, Bronx County, NY","36005022200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",23.4072,15.3186,61.2742,7.1517,41758487,2578,1298,35.9557,1280,35.4571,71.4127,569,15.7618,463,12.8255,3610,1743,1867,1341,37.1468
"CT022300, Bronx County, NY","36005022300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",35.1351,22.0345,42.8303,7.2093,58129362,3589,1841,34.5533,1748,32.8078,67.3611,1055,19.8011,684,12.8378,5328,2432,2896,1075,20.1764
"CT022401, Bronx County, NY","36005022401 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.8106,17.9318,55.2577,7.1733,32598888,2107,1117,38.8928,990,34.4708,73.3635,404,14.0669,361,12.5696,2872,1351,1521,1132,39.4150
"CT022403, Bronx County, NY","36005022403 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.4656,9.2637,66.2708,7.2178,46705875,2486,1403,41.6568,1083,32.1556,73.8124,465,13.8064,417,12.3812,3368,1500,1868,1305,38.7470
"CT022404, Bronx County, NY","36005022404 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.5126,19.0017,63.4857,7.2080,77051194,3911,1958,41.0654,1953,40.9606,82.0260,557,11.6820,300,6.2919,4768,2253,2515,2373,49.7693
"CT022500, Bronx County, NY","36005022500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.1835,18.6102,51.2063,7.1984,83686063,5595,2841,35.6999,2754,34.6067,70.3066,1414,17.7683,949,11.9251,7958,3703,4255,2469,31.0254
"CT022701, Bronx County, NY","36005022701 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",36.3084,15.9919,47.6997,7.1957,60350228,3760,1970,36.2532,1790,32.9407,69.1940,926,17.0409,748,13.7652,5434,2538,2896,1848,34.0081
"CT022702, Bronx County, NY","36005022702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",31.3889,13.0000,55.6111,7.2000,27422350,1569,730,40.5556,839,46.6111,87.1667,134,7.4444,97,5.3889,1800,936,864,641,35.6111
"CT022703, Bronx County, NY","36005022703 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.5872,21.7737,53.6391,7.1848,18371900,1237,589,36.0245,648,39.6330,75.6575,274,16.7584,124,7.5841,1635,772,863,439,26.8502
"CT022800, Bronx County, NY","36005022800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.1257,23.5557,52.3186,7.1533,109366625,5001,2584,39.8090,2417,37.2362,77.0451,771,11.8780,719,11.0769,6491,3136,3355,3165,48.7598
"CT022901, Bronx County, NY","36005022901 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.0913,13.8349,54.0738,7.1650,54137764,3519,1860,33.1610,1659,29.5775,62.7385,1026,18.2920,1064,18.9695,5609,2723,2886,1939,34.5694
"CT022902, Bronx County, NY","36005022902 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",34.2387,7.1367,58.6247,7.1609,31372586,1686,911,26.3219,775,22.3924,48.7142,979,28.2866,796,22.9991,3461,1571,1890,992,28.6622
"CT023000, Bronx County, NY","36005023000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.5080,15.1125,62.3794,7.1841,45956601,2363,1157,37.2026,1206,38.7781,75.9807,433,13.9228,314,10.0965,3110,1520,1590,1280,41.1576
"CT023100, Bronx County, NY","36005023100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.0448,16.3997,53.5554,7.1856,12573796,900,462,29.5964,438,28.0589,57.6553,290,18.5778,371,23.7668,1561,809,752,558,35.7463
"CT023200, Bronx County, NY","36005023200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",23.4564,12.4202,64.1235,7.1786,44366276,2084,1021,36.2314,1063,37.7218,73.9532,464,16.4656,270,9.5813,2818,1333,1485,1223,43.3996
"CT023301, Bronx County, NY","36005023301 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",31.4403,18.6137,49.9460,7.2241,51703250,3282,1585,34.2259,1697,36.6444,70.8702,747,16.1304,602,12.9994,4631,2299,2332,1640,35.4135
"CT023302, Bronx County, NY","36005023302 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",29.6581,15.6695,54.6724,7.2131,28815050,1845,844,24.0456,1001,28.5185,52.5641,949,27.0370,716,20.3989,3510,1717,1793,602,17.1510
"CT023501, Bronx County, NY","36005023501 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",37.6767,14.1040,48.2193,7.1820,42945375,2139,1060,29.9604,1079,30.4975,60.4579,794,22.4421,605,17.1001,3538,1684,1854,740,20.9158
"CT023502, Bronx County, NY","36005023502 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.2371,19.6884,48.0744,7.2204,36517245,2693,1197,25.8979,1496,32.3669,58.2648,1240,26.8282,689,14.9070,4622,2185,2437,1145,24.7728
"CT023600, Bronx County, NY","36005023600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",35.1714,12.0219,52.8068,7.0825,28016253,1475,713,35.4198,762,37.8539,73.2737,363,18.0328,175,8.6935,2013,937,1076,759,37.7049
"CT023702, Bronx County, NY","36005023702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.0124,17.3509,58.6367,7.1869,9027750,688,326,25.2517,362,28.0403,53.2920,308,23.8575,295,22.8505,1291,657,634,277,21.4562
"CT023703, Bronx County, NY","36005023703 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.9954,12.1140,62.8906,7.1936,47882696,3411,1491,27.2428,1920,35.0813,62.3241,1176,21.4873,886,16.1886,5473,2806,2667,1279,23.3693
"CT023704, Bronx County, NY","36005023704 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",29.0282,11.7573,59.2145,7.1682,34069800,2155,1059,26.6616,1096,27.5932,54.2548,1068,26.8882,749,18.8570,3972,1845,2127,965,24.2951
"CT023800, Bronx County, NY","36005023800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",8.2701,9.8953,81.8346,7.0859,43389242,2105,1090,39.3644,1015,36.6558,76.0202,320,11.5565,344,12.4233,2769,1359,1410,1020,36.8364
"CT023900, Bronx County, NY","36005023900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",27.7078,11.7674,60.5248,7.1845,64527038,4343,1833,21.1883,2510,29.0140,50.2023,2559,29.5804,1749,20.2173,8651,4259,4392,1991,23.0147
"CT024000, Bronx County, NY","36005024000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",11.7947,13.4728,74.7325,7.2148,52386147,3195,1596,38.8132,1599,38.8862,77.6994,532,12.9377,385,9.3628,4112,1984,2128,1436,34.9222
"CT024100, Bronx County, NY","36005024100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.1780,15.8499,59.9721,7.2113,59440811,3302,1682,26.0856,1620,25.1241,51.2097,1707,26.4733,1439,22.3170,6448,3059,3389,1831,28.3964
"CT024300, Bronx County, NY","36005024300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.3958,19.5460,61.0583,7.1983,56728627,3665,1788,29.8448,1877,31.3303,61.1751,1419,23.6855,907,15.1394,5991,2784,3207,1764,29.4442
"CT024400, Bronx County, NY","36005024400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",6.9809,12.7168,80.3024,7.1986,61083951,1957,1043,46.3762,914,40.6403,87.0165,148,6.5807,144,6.4028,2249,1058,1191,1391,61.8497
"CT024501, Bronx County, NY","36005024501 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",27.9530,19.3928,52.6543,7.1829,51210636,3806,1851,36.2586,1955,38.2958,74.5544,906,17.7473,393,7.6983,5105,2348,2757,1138,22.2919
"CT024502, Bronx County, NY","36005024502 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",27.4648,11.7632,60.7720,7.2078,36065035,1889,922,24.0480,967,25.2217,49.2697,1133,29.5514,812,21.1789,3834,1779,2055,1004,26.1868
"CT024600, Bronx County, NY","36005024600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.9476,27.3229,61.7295,7.1709,58010197,2123,1105,50.8280,1018,46.8261,97.6541,40,1.8399,11,0.5060,2174,1029,1145,1455,66.9273
"CT024700, Bronx County, NY","36005024700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",35.9871,8.6606,55.3523,7.1902,35527710,1552,825,44.3787,727,39.1070,83.4857,177,9.5212,130,6.9930,1859,857,1002,960,51.6407
"CT024800, Bronx County, NY","36005024800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.0982,24.1536,58.7482,7.1892,80941556,3163,1654,47.0555,1509,42.9303,89.9858,221,6.2873,131,3.7269,3515,1640,1875,2541,72.2902
"CT024900, Bronx County, NY","36005024900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
